LocalCol;TimeCol;PLC1_AI_LT_BACINO;PLC1_AI_FT_PORT_IST;PLC1_AI_LT_SCAR_C;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_INTERNO1;PLC1_AI_PT_TURBINA_OUT;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINAmt;PLC1_AI_FT_PORT_COND;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;LIVELLO VASCA FORESTA [EW164];MISURATORE DI PORTATA TURBINA [EW172];LIVELLO VASCA DI SCARICO [EW168];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO INTERNO TORRINO FORESTA [EW170];PRESSIONE USCITA ACQUA TURBINATA [EW174];POSIZIONE DISTRIBUTORE [EW180];PRESSIONE ACQUA TURBINA [EW182];MISURATORE DI PORTATA 1600 [E1.5];;;;;;;;;;;;
11/06/2024 15:15;11/06/2024 13:15;2,592;1,9503;60,0222;204,146;2,81315;-0,204933;100,109;12,3869;3,01582;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 15:30;11/06/2024 13:30;2,54356;1,94401;59,9844;206,062;2,80621;-0,219473;100,113;12,5669;3,02059;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 15:45;11/06/2024 13:45;2,61867;1,95247;60,0188;202,067;2,81619;-0,206814;100,109;12,4002;3,03761;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 16:00;11/06/2024 14:00;2,60756;1,99175;59,989;202,906;2,82335;-0,215495;100,104;12,5551;3,06565;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 16:15;11/06/2024 14:15;2,61556;1,96419;60,0249;205,691;2,82552;-0,227937;100,118;12,5108;3,06147;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 16:30;11/06/2024 14:30;2,60889;1,96723;59,9481;206,602;2,82053;-0,212601;100,118;12,4828;3,04786;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 16:45;11/06/2024 14:45;2,62222;1,97114;59,9371;204,675;2,82769;-0,215422;100,109;12,353;3,06529;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 17:00;11/06/2024 15:00;2,59244;1,96528;60,0054;204,877;2,82552;-0,204138;100,118;12,5934;3,0685;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 17:15;11/06/2024 15:15;2,62222;1,97179;59,9693;204,566;2,81923;-0,218027;100,118;12,589;3,04793;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 17:30;11/06/2024 15:30;2,61422;1,95269;59,9977;204,952;2,81814;-0,220486;100,113;12,6318;3,04798;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 17:45;11/06/2024 15:45;2,60311;1,96528;60,0156;204,838;2,81575;-0,222656;100,118;12,651;3,059;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 18:00;11/06/2024 16:00;2,60978;1,97157;60,017;202,93;2,81424;-0,225477;100,104;12,4902;3,04257;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 18:15;11/06/2024 16:15;2,60267;1,96788;60,0202;202,578;2,81467;-0,221788;100,104;12,6702;3,01837;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 18:30;11/06/2024 16:30;2,61378;1,95378;60,0324;204,379;2,81944;-0,217954;100,109;12,2762;3,00288;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 18:45;11/06/2024 16:45;2,61556;1,95529;60,0496;203,157;2,81814;-0,216074;100,104;12,5049;3,03319;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 19:00;11/06/2024 17:00;2,60267;1,98242;59,9726;204,317;2,81619;-0,199363;100,095;12,5448;3,02077;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 19:15;11/06/2024 17:15;2,59467;1,95877;60,0102;204,411;2,82379;-0,214048;100,109;12,5034;3,01892;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 19:30;11/06/2024 17:30;2,58133;1,95313;60,0016;203,872;2,8201;-0,214337;100,127;12,4533;3,02882;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 19:45;11/06/2024 17:45;2,648;1,95334;60,0353;202,518;2,82726;-0,222584;100,109;12,4843;3,06239;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 20:00;11/06/2024 18:00;2,63645;1,95356;59,9554;206,03;2,82661;-0,204644;100,109;12,4385;3,09273;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 20:15;11/06/2024 18:15;2,64756;1,9477;60,0449;204,138;2,83333;-0,221571;100,109;12,6023;3,10884;0;0;0;0;0;0;0;0;0;0;0;0
