timestamp,Portata [l/s],Pressione [bar],Potenza [kW],Cosphi
2022-02-14 14:02:26,89.71978,26.79747,175.6912,0.9645424
2022-02-14 14:17:26,88.92604,26.83926,174.3026,0.9953069
2022-02-14 14:32:26,89.69833,26.79747,178.7181,0.998413
2022-02-14 14:47:26,89.1352,26.81746,176.2803,0.9971976
2022-02-14 15:02:26,89.4838,26.81564,176.0007,0.9968383
2022-02-14 15:17:26,89.0333,26.83381,174.845,0.9994055
2022-02-14 15:32:26,56.21095,27.9911,122.3242,0.9890888
2022-02-14 15:47:26,52.07598,28.0674,117.5275,0.8444989
2022-02-14 16:02:26,70.39643,27.55688,139.9074,0.8710988
2022-02-14 16:17:26,91.60224,26.7357,180.5447,0.9993549
2022-02-14 16:32:26,90.7924,26.7466,178.1604,0.9995526
2022-02-14 16:47:26,89.94503,26.80293,177.3724,0.9991426
2022-02-14 17:02:26,91.47353,26.67393,179.4616,0.9953657
2022-02-14 17:17:26,91.68269,26.73752,182.21,0.9980653
2022-02-14 17:32:26,89.90213,26.79566,174.8288,0.9982648
2022-02-14 17:47:26,91.25363,26.7575,178.3913,0.9995639
2022-02-14 18:02:26,90.85677,26.77204,178.3683,0.9995525
2022-02-14 18:17:26,90.49207,26.77204,179.3792,0.9996185
2022-02-14 18:32:26,90.62079,26.76841,178.487,0.9996542
2022-02-14 18:47:26,90.47062,26.77567,177.7789,0.9993327
2022-02-14 19:02:26,90.67442,26.76659,178.9691,0.999616
2022-02-14 19:17:26,91.58615,26.7357,178.4761,0.9995786
2022-02-14 19:32:26,90.05229,26.82836,178.7045,0.9993389
2022-02-14 19:47:26,90.56179,26.76841,180.7942,0.9996676
2022-02-14 20:02:26,91.58615,26.74479,179.3263,0.9498232
2022-02-14 20:17:26,89.91821,26.79566,176.4743,0.950936
2022-02-14 20:32:26,90.23464,26.73207,177.9281,0.944374
2022-02-14 20:47:26,89.49989,26.82836,173.5408,0.9382948
2022-02-14 21:02:26,90.06302,26.78839,176.2852,0.9501537
2022-02-14 21:17:26,91.26972,26.78839,179.4148,0.9687263
2022-02-14 21:32:26,90.14347,26.79021,176.1972,0.9433781
2022-02-14 21:47:26,90.98012,26.7575,179.9279,0.9986519
2022-02-14 22:02:26,90.84068,26.74479,178.6973,0.9993423
2022-02-14 22:17:26,90.17028,26.78476,178.9651,0.9991457
2022-02-14 22:32:26,89.39799,26.81746,177.2968,0.9994636
2022-02-14 22:47:26,90.78704,26.76114,179.4193,0.9990079
2022-02-14 23:02:26,90.69051,26.77022,177.2341,0.9994983
2022-02-14 23:17:26,90.87822,26.75569,180.5525,0.9995873
2022-02-14 23:32:26,90.51888,26.79202,178.0556,0.9994318
2022-02-14 23:47:26,91.34481,26.73207,181.0529,0.9953424
2022-02-15 00:02:26,90.53497,26.77749,178.3288,0.9651479
2022-02-15 00:17:26,90.48135,26.7793,176.6455,0.9992658
2022-02-15 00:32:26,90.48671,26.77385,179.0008,0.9785241
2022-02-15 00:47:26,90.17028,26.79566,177.5681,0.9729359
2022-02-15 01:02:26,90.37945,26.79021,178.9167,0.9689929
2022-02-15 01:17:26,89.48917,26.78294,176.3299,0.9727123
2022-02-15 01:32:26,89.12984,26.73025,176.8732,0.9619191
2022-02-15 01:47:26,90.85677,26.77385,180.9404,0.9672738
2022-02-15 02:02:26,90.81922,26.74115,180.1202,0.9724774
2022-02-15 02:17:26,90.42771,26.75387,178.8671,0.9778723
2022-02-15 02:32:26,90.05229,26.78839,176.732,0.9630275
2022-02-15 02:47:26,90.45989,26.76114,179.0287,0.9761166
2022-02-15 03:02:26,90.40626,26.78112,178.272,0.9786302
2022-02-15 03:17:26,90.32045,26.77204,176.6682,0.977596
2022-02-15 03:32:26,90.08984,26.77567,179.2921,0.9749052
2022-02-15 03:47:26,89.77878,26.79384,175.8858,0.9708645
2022-02-15 04:02:26,89.51598,26.79747,175.3289,0.9787209
2022-02-15 04:17:26,90.84604,26.7466,179.9733,0.9779204
2022-02-15 04:32:26,90.26146,26.77204,177.4174,0.9708253
2022-02-15 04:47:26,89.35509,26.81019,176.4481,0.9747069
2022-02-15 05:02:26,89.70369,26.79384,178.3177,0.9775965
2022-02-15 05:17:26,89.56425,26.81382,175.0581,0.9597321
2022-02-15 05:32:26,90.17564,26.82291,177.9243,0.9647174
2022-02-15 05:47:26,89.90749,26.75024,177.0631,0.96034
2022-02-15 06:02:26,90.1971,26.78112,176.7576,0.9515575
