t,QPAR,QST,Q,PPAR,PST,P,Bar,etaPAR,etaST,eta
2022-12-05 18:30:00,,0.0,,,0.0,,,,,
2022-12-05 19:30:00,,14.155979,,,29.501825,,,,,
2022-12-05 20:30:00,,43.29922,,,94.2917475,,,,0.773172385167671,
2022-12-05 21:30:00,,64.722235,,,135.518135,,,,0.769720043002417,
2022-12-05 22:30:00,,70.9729625,,,149.147325,,,,0.772815021280419,
2022-12-05 23:30:00,,71.269275,,,147.19135,,,,0.759975276058411,
2022-12-06 00:30:00,,70.8965375,,,149.31515,,,,0.774541269292321,
2022-12-06 01:30:00,,70.5211225,,,148.032725,,,,0.772248637813621,
2022-12-06 02:30:00,,69.8976575,,,147.098225,,,,0.772280416394553,
2022-12-06 03:30:00,,71.1740825,,,149.1688,,,,0.771500735295126,
2022-12-06 04:30:00,,69.385475,,,145.348925,,,,0.768871764502361,
2022-12-06 05:30:00,,38.0594425,,,79.0262475,,,,0.67489326267876,
2022-12-06 06:30:00,,52.4312875,,,113.2977275,,,,0.777025307773492,
2022-12-06 07:30:00,,71.064135,,,149.00565,,,,0.771288307567556,
2022-12-06 08:30:00,,70.87777,,,149.057675,,,,0.773566656211677,
2022-12-06 09:30:00,,69.7501725,,,146.4719,,,,0.771760236324256,
2022-12-06 10:30:00,,69.4042475,,,146.380125,,,,0.773755307732258,
2022-12-06 11:30:00,,69.259445,,,144.949,,,,0.76768246377963,
2022-12-06 12:30:00,,69.5168725,,,145.917375,,,,0.769887342191441,
2022-12-06 13:30:00,,68.9926275,,,145.34235,,,,0.772447169776856,
2022-12-06 14:30:00,,56.61989,,,117.3957375,,,,0.730884909243131,
2022-12-06 15:30:00,0.0015147526666666,38.8223475,38.8238622526667,0.0,82.1109075,82.1109075,28.12720625,,0.74891553947668,
2022-12-06 16:30:00,7.17416071525575,62.7593325,69.9334932152558,13.1875,136.0190475,149.2065475,27.20111,,0.802377968067097,
2022-12-06 17:30:00,28.7585175,61.065925,89.8244425,52.6935,132.065425,184.758925,26.93751,0.682370789848399,0.799714353397241,0.768834468252809
2022-12-06 18:30:00,28.7346725,60.6569875,89.39166,52.443875,131.532625,183.9765,26.9302325,0.680395071937589,0.801475853015649,0.769612489574055
2022-12-06 19:30:00,28.7420525,60.2695,89.0115525,52.42175,130.7568,183.17855,26.932725,0.680181899738943,0.801432332471733,0.769524323857841
2022-12-06 20:30:00,28.70516,60.0938575,88.7990175,52.4575,129.933625,182.391125,26.952945,0.680970724136226,0.798169336108103,0.767327596115504
2022-12-06 21:30:00,28.71594,59.8324075,88.5483475,52.4985,129.885525,182.384025,26.94499125,0.681683976208376,0.801314827049328,0.769833024196446
2022-12-06 22:30:00,28.7057225,59.4221225,88.127845,52.363875,129.0254,181.389275,26.9565775,0.679878729433846,0.801167395383571,0.769249325396801
2022-12-06 23:30:00,28.6756375,59.60581,88.2814475,52.654375,129.4013,182.055675,26.95907625,0.684194220404657,0.801075729444995,0.770317437592275
2022-12-07 00:30:00,29.0724375,28.16313,57.2355675,54.7955,56.6038175,111.3993175,27.74623625,0.684439447315827,0.65320636319035,0.661425595854949
2022-12-07 01:30:00,29.03781,28.2878225,57.3256325,55.166125,58.532715,113.69884,27.84163125,0.68914668390672,0.731999262161239,0.720722267883734
2022-12-07 02:30:00,28.675635,61.8502825,90.5259175,52.187875,133.950625,186.1385,26.85048125,0.68106471225658,0.80214760878178,0.77028368864357
2022-12-07 03:30:00,28.67507,61.38369,90.05876,52.2595,133.010275,185.269775,26.90341875,0.680505792168274,0.801200958724124,0.769439072788374
2022-12-07 04:30:00,28.64612,61.02034,89.66646,52.285,132.292275,184.577275,26.90659875,0.681365421913752,0.801621838431398,0.769975413032017
2022-12-07 05:30:00,28.608655,60.8098375,89.4184925,52.13325,131.8943,184.02755,26.91455125,0.679898690217698,0.801945606912088,0.769827997255669
2022-12-07 06:30:00,28.635335,60.6516225,89.2869575,52.280375,131.4924,183.772775,26.93250125,0.680612782136928,0.801176611911611,0.769449288286695
2022-12-07 07:30:00,28.5836775,60.5725175,89.156195,52.181875,131.452625,183.6345,26.93182375,0.680432543764523,0.802177620177749,0.770139442174268
2022-12-07 08:30:00,28.6069475,59.941005,88.5479525,52.336875,130.202075,182.53895,26.948405,0.681681430441907,0.802192224411232,0.770478857577199
2022-12-07 09:30:00,28.6137625,59.7868175,88.40058,51.92875,129.781025,181.709775,26.9513575,0.676212010528141,0.801467833478061,0.76850577480703
2022-12-07 10:30:00,29.2790675,17.26257125,46.54163875,56.515375,32.2082175,88.7235925,28.224725,0.686729243784138,0.616207470519206,0.634765831904714
2022-12-07 11:30:00,28.926545,51.3077125,80.2342575,53.430875,114.5890925,168.0199675,27.2617225,0.678068856925001,0.823701797816972,0.785377339687506
2022-12-07 12:30:00,28.58935,61.7255875,90.3149375,51.884625,133.71585,185.600475,26.88479625,0.677627916708027,0.802112873128348,0.769353674070369
2022-12-07 13:30:00,28.57573,60.8433575,89.4190875,52.03275,132.133275,184.166025,26.9268125,0.679642385547019,0.801889505604672,0.769719210852658
2022-12-07 14:30:00,28.62398,60.5349725,89.1589525,51.923125,131.221025,183.14415,26.9213675,0.676826117023077,0.801034186053833,0.768347852098371
2022-12-07 15:30:00,28.57516,60.193075,88.768235,51.7155,130.493375,182.208875,26.9393075,0.675171640727014,0.800172686451267,0.767277674418569
2022-12-07 16:30:00,28.65747,59.725145,88.382615,51.75525,129.497375,181.252625,26.951805,0.673247727424583,0.800149019320489,0.766753942505776
2022-12-07 17:30:00,28.5496175,63.2674875,91.817105,51.431125,135.360075,186.7912,26.83458625,0.674107382306353,0.793526293019302,0.762100263884316
2022-12-07 18:30:00,28.595595,62.339665,90.93526,51.805875,134.8626,186.668475,26.861845,0.677395373203973,0.801279640034054,0.768678517184033
2022-12-07 19:30:00,28.8782975,36.12872,65.0070175,53.55525,74.258585,127.813835,27.484745,0.679977892088945,0.647667553112471,0.656170273895754
2022-12-07 20:30:00,29.2075425,37.5781025,66.785645,55.808,81.56258,137.37058,27.84221125,0.685173290172819,0.775749450553266,0.751913618874201
2022-12-07 21:30:00,28.6404425,64.9072675,93.54771,52.179,137.161775,189.340775,26.86370125,0.678412160802621,0.785792354384749,0.757534408705242
2022-12-07 22:30:00,28.5354225,64.2060375,92.74146,51.4985,136.47705,187.97555,26.79891875,0.676095377884435,0.789579284739727,0.759715098725176
2022-12-07 23:30:00,28.53883,63.3492725,91.8881025,51.40175,135.0468,186.44855,26.8118575,0.675019513815999,0.790799287821158,0.760330926240853
2022-12-08 00:30:00,28.5649425,63.3425725,91.907515,51.603375,135.56625,187.169625,26.8093625,0.677014609979736,0.794091309036506,0.763281651389987
2022-12-08 01:30:00,28.551885,62.9510625,91.5029475,51.55625,135.637925,187.194175,26.8359475,0.675793399688825,0.798869991257587,0.766481414528966
2022-12-08 02:30:00,28.5439425,62.8223525,91.366295,51.56775,135.647875,187.215625,26.83662125,0.67650158689828,0.800085491011701,0.767563410981854
2022-12-08 03:30:00,28.569485,62.20827,90.777755,51.451625,134.442975,185.8946,26.85661875,0.673548656089818,0.800578328859147,0.76714946760406
2022-12-08 04:30:00,28.507605,61.91598,90.423585,51.73625,133.6808,185.41705,26.86797625,0.678679111007196,0.799224581169461,0.767502089021497
2022-12-08 05:30:00,29.0866275,26.9269305,56.013558,55.084375,55.43368,110.518055,27.88552,0.682974194114731,0.645014476237898,0.65500387567917
2022-12-08 06:30:00,28.826635,51.4954225,80.3220575,53.118875,106.7690775,159.8879525,27.2492275,0.676936661595827,0.764605931166845,0.741535070753419
2022-12-08 07:30:00,28.47752,64.5103925,92.9879125,51.308875,137.027175,188.33605,26.761425,0.676517749266085,0.789437630398695,0.759721872205902
2022-12-08 08:30:00,28.512715,63.978105,92.49082,51.452625,137.1499,188.602525,26.77505,0.677462256644321,0.795949526600984,0.764768666086073
2022-12-08 09:30:00,28.5217975,63.9177675,92.439565,51.408125,136.01435,187.422475,26.77482875,0.676436005092021,0.79044448994074,0.760442257085814
2022-12-08 10:30:00,28.52861,63.2581025,91.7867125,51.5895,136.0292,187.6187,26.8127675,0.677703761588485,0.797570003311245,0.766026255489466
2022-12-08 11:30:00,28.505905,64.4540825,92.9599875,51.59175,136.188525,187.780275,26.79188,0.678055259700225,0.785490138143532,0.757217801711083
2022-12-08 12:30:00,28.5331525,63.3841375,91.91729,51.42325,133.99955,185.4228,26.81390625,0.675321345202087,0.784202679791314,0.755549697004676
2022-12-08 13:30:00,28.5257725,63.1307275,91.6565,51.5685,134.0681,185.6366,26.82617375,0.677056931557934,0.787384227089835,0.75835072826565
2022-12-08 14:30:00,28.7545425,38.2203375,66.97488,52.86275,77.34798,130.21073,27.40632375,0.678853307564622,0.657986068668816,0.663477447325607
2022-12-08 15:30:00,29.05881,26.10503,55.16384,55.184,53.023895,108.207895,27.90163,0.685998675368051,0.70674750659158,0.701287287848546
2022-12-08 16:30:00,28.66031,64.191285,92.851595,52.514875,136.883325,189.3982,26.915505,0.680551543338076,0.7917587863621,0.76249372240841
2022-12-08 17:30:00,28.527475,64.629725,93.1572,51.420875,137.22945,188.650325,26.76824,0.676565023046495,0.789040006099273,0.759441326348542
2022-12-08 18:30:00,28.497955,64.8362025,93.3341575,51.42575,137.070675,188.496425,26.76983625,0.677012596289294,0.785926371627933,0.757264851801975
2022-12-08 19:30:00,28.5070375,64.905925,93.4129625,51.686,136.468775,188.154775,26.77892875,0.679533025274718,0.781815004358983,0.75489869407365
2022-12-08 20:30:00,28.5422375,63.6040225,92.14626,51.42625,136.5706,187.99685,26.80913375,0.675316342157356,0.796516095161823,0.764621423318542
2022-12-08 21:30:00,28.489445,63.7541925,92.2436375,51.625,134.965175,186.590175,26.80277625,0.679147476101792,0.785823264478924,0.757750688590205
2022-12-08 22:30:00,28.53656,62.882685,91.419245,51.493875,135.2156,186.709475,26.81594625,0.676395816070709,0.797182809331444,0.765396758473356
2022-12-08 23:30:00,28.499095,62.8625725,91.3616675,51.724875,135.165375,186.89025,26.81958125,0.680197250612796,0.797075226992871,0.766317864787588
2022-12-09 00:30:00,29.04462,25.3890525,54.4336725,54.895125,49.8677425,104.7628675,27.8445975,0.684440657980515,0.622954253336914,0.639134886137862
2022-12-09 01:30:00,28.8022275,48.1407825,76.94301,53.06725,101.257715,154.324965,27.34754375,0.67773060866881,0.766092383709876,0.742839285014858
2022-12-09 02:30:00,28.470145,64.9340825,93.4042275,51.18525,137.641725,188.826975,26.732565,0.676260357069335,0.788169442847893,0.758719683432483
2022-12-09 03:30:00,28.516125,64.9515125,93.4676375,51.513,136.9499,188.4629,26.77278875,0.677619911472945,0.783815204116113,0.755869074473174
2022-12-09 04:30:00,28.5212325,64.618995,93.1402275,51.5565,136.804975,188.361475,26.7746075,0.67794395331209,0.786946197355206,0.758261396291228
2022-12-09 05:30:00,28.513285,64.32939,92.842675,51.5145,136.982075,188.496575,26.79119375,0.677095372457482,0.791108180371851,0.76110480986807
2022-12-09 06:30:00,28.57743,64.188605,92.766035,51.60525,137.50865,189.1139,26.78324,0.677289112423258,0.79576671994323,0.764588402174816
2022-12-09 07:30:00,28.4968225,64.2703975,92.76722,51.684125,136.096425,187.78055,26.79165125,0.67965987393989,0.786926871945431,0.758698714575552
2022-12-09 08:30:00,28.5081775,62.952405,91.4605825,51.438125,135.3049,186.743025,26.79617375,0.677228375321423,0.796963836146781,0.765454504350634
2022-12-09 09:30:00,28.7301325,49.7711775,78.50131,53.16,105.16252,158.32252,27.22285125,0.681400127391329,0.721712214500934,0.711103770524722
2022-12-09 10:30:00,29.17859,30.7803375,59.9589275,56.10125,60.76368,116.86493,27.98303125,0.688120199509817,0.668443873571285,0.673621854081425
2022-12-09 11:30:00,28.6489575,56.70972,85.3586775,52.4605,120.1906575,172.6511575,27.00952875,0.679718644314182,0.78656520076136,0.758447685906839
2022-12-09 12:30:00,28.5235025,64.21542,92.7389225,51.1865,137.396825,188.583325,26.7671,0.674055336535563,0.794532042059871,0.762827645869264
2022-12-09 13:30:00,28.4729825,64.89788,93.3708625,51.222875,137.236225,188.4591,26.75824375,0.675590760774143,0.786032106060427,0.756968594142984
2022-12-09 14:30:00,28.5047675,65.643355,94.1481225,51.4325,137.422575,188.855075,26.76598125,0.67655274270574,0.778796941385482,0.751890573311866
2022-12-09 15:30:00,28.520095,63.8882725,92.4083675,51.401625,137.6654,189.067025,26.7943625,0.676062823976449,0.799564972265867,0.767064406926546
2022-12-09 16:30:00,28.5042025,64.2838025,92.788005,51.626,135.16085,186.78685,26.79618875,0.678900229844276,0.78078225871266,0.753971198484138
2022-12-09 17:30:00,28.5263425,63.6295025,92.155845,51.58375,134.733625,186.317375,26.833445,0.67710531787911,0.784940445225175,0.756562780134105
2022-12-09 18:30:00,28.51953,63.329165,91.848695,51.4965,134.65975,186.15625,26.815945,0.676905223755948,0.788355998550132,0.759026847288505
2022-12-09 19:30:00,28.94528,31.9039125,60.8491925,54.546125,61.8274025,116.3735275,27.727175,0.683416022327052,0.611869718874256,0.630697693467097
2022-12-09 20:30:00,29.02759,43.115535,72.143125,54.39425,92.8379625,147.2322125,27.56205125,0.681294035131537,0.779724908258018,0.753822046908944
2022-12-09 21:30:00,28.5127175,65.58302,94.0957375,51.254375,137.346075,188.60045,26.74189,0.675370609605994,0.77899408380808,0.751724748491742
2022-12-09 22:30:00,28.5007975,64.4916225,92.99242,51.351625,137.166275,188.5179,26.77528375,0.676140879286399,0.790151181678581,0.760148470522743
2022-12-09 23:30:00,28.5081775,64.529165,93.0373425,51.064625,136.63585,187.700475,26.76824125,0.67226466436503,0.786883213981089,0.756720437766337
2022-12-10 00:30:00,28.5172575,63.6697225,92.18698,51.53625,135.2025,186.73875,26.81117625,0.677308132825845,0.787689815527225,0.758642004290019
2022-12-10 01:30:00,28.5399675,63.5892775,92.129245,51.5725,135.478425,187.050925,26.81254,0.677247207321056,0.790302905510706,0.760551405987114
2022-12-10 02:30:00,28.53599,62.9926275,91.5286175,51.40475,135.423475,186.828225,26.8188925,0.675460711696896,0.79658554087089,0.764710585825102
2022-12-10 03:30:00,28.5411025,63.244695,91.7857975,51.480375,135.5221,187.002475,26.8202625,0.675933426004462,0.794434145378474,0.763249745543208
