0,PRESSIONE ACQUA DI LINEA [EW166],PRESSIONE ACQUA TURBINA [EW164],G1 : Potenza attiva prodotta Turbina [STRUMENTO],MISURATORE DI PORTATA [EW168],1,2,3
02/12/2024 19:15:00,31.8537,31.0113,31.1412,12.1926,ND,ND,02/12/2024 20:15:00
02/12/2024 19:30:00,31.8511,31.0417,31.1916,12.2179,ND,ND,02/12/2024 20:30:00
02/12/2024 19:45:00,31.868,31.0503,31.386,12.2106,ND,ND,02/12/2024 20:45:00
02/12/2024 20:00:00,31.8829,31.0561,31.488,12.2251,ND,ND,02/12/2024 21:00:00
02/12/2024 20:15:00,31.9361,31.1212,31.2756,12.2432,ND,ND,02/12/2024 21:15:00
02/12/2024 20:30:00,31.8712,31.0359,30.9972,12.2251,ND,ND,02/12/2024 21:30:00
02/12/2024 20:45:00,31.8054,30.9968,42.4824,12.2106,ND,ND,02/12/2024 21:45:00
02/12/2024 21:00:00,31.689,30.855,55.26,12.236,ND,ND,02/12/2024 22:00:00
02/12/2024 21:15:00,31.8015,30.9635,47.4444,12.2143,ND,ND,02/12/2024 22:15:00
02/12/2024 21:30:00,31.901,31.0663,41.2332,12.2143,ND,ND,02/12/2024 22:30:00
02/12/2024 21:45:00,31.6557,30.816,69.1992,12.2179,ND,ND,02/12/2024 22:45:00
02/12/2024 22:00:00,31.8187,30.9635,51.7836,12.2323,ND,ND,02/12/2024 23:00:00
02/12/2024 22:15:00,32.0107,31.1777,32.7852,12.207,ND,ND,02/12/2024 23:15:00
02/12/2024 22:30:00,31.6266,30.7813,73.0176,12.2323,ND,ND,02/12/2024 23:30:00
02/12/2024 22:45:00,31.7776,30.9317,61.6704,12.2143,ND,ND,02/12/2024 23:45:00
02/12/2024 23:00:00,32.1001,31.2572,37.5072,12.1962,ND,ND,03/12/2024 00:00:00
02/12/2024 23:15:00,31.5406,30.693,85.7484,12.236,ND,ND,03/12/2024 00:15:00
02/12/2024 23:30:00,31.6277,30.7885,84.9444,12.236,ND,ND,03/12/2024 00:30:00
02/12/2024 23:45:00,32.0648,31.2167,40.0404,12.2251,ND,ND,03/12/2024 00:45:00
03/12/2024 00:00:00,31.2744,30.379,93.162,12.2143,ND,ND,03/12/2024 01:00:00
03/12/2024 00:15:00,30.8833,30.0217,109.182,12.2106,ND,ND,03/12/2024 01:15:00
03/12/2024 00:30:00,30.6972,29.8322,129.318,12.2179,ND,ND,03/12/2024 01:30:00
03/12/2024 00:45:00,30.8824,30.0101,119.756,12.2323,ND,ND,03/12/2024 01:45:00
03/12/2024 01:00:00,31.3029,30.4485,105.707,12.2251,ND,ND,03/12/2024 02:00:00
03/12/2024 01:15:00,30.9831,30.1186,120.748,12.2106,ND,ND,03/12/2024 02:15:00
03/12/2024 01:30:00,31.3765,30.5122,110.002,12.1926,ND,ND,03/12/2024 02:30:00
03/12/2024 01:45:00,31.8857,31.0258,74.5056,12.1889,ND,ND,03/12/2024 02:45:00
03/12/2024 02:00:00,31.7153,30.8623,87.7404,12.2468,ND,ND,03/12/2024 03:00:00
03/12/2024 02:15:00,30.3851,29.5211,122.0,12.1889,ND,ND,03/12/2024 03:15:00
03/12/2024 02:30:00,33.3364,32.4696,0.0,118.515,ND,ND,03/12/2024 03:30:00
03/12/2024 02:45:00,31.3618,30.5064,99.0048,12.1817,ND,ND,03/12/2024 03:45:00
03/12/2024 03:00:00,30.2472,29.3808,125.191,12.2106,ND,ND,03/12/2024 04:00:00
03/12/2024 03:15:00,30.6537,29.7931,116.495,12.1998,ND,ND,03/12/2024 04:15:00
03/12/2024 03:30:00,30.866,29.9957,108.144,12.236,ND,ND,03/12/2024 04:30:00
03/12/2024 03:45:00,31.3572,30.5194,92.9352,12.1926,ND,ND,03/12/2024 04:45:00
03/12/2024 04:00:00,32.0152,31.1603,48.288,12.1998,ND,ND,03/12/2024 05:00:00
03/12/2024 04:15:00,31.6703,30.8232,73.116,12.2323,ND,ND,03/12/2024 05:15:00
03/12/2024 04:30:00,31.7513,30.8955,71.3136,12.2251,ND,ND,03/12/2024 05:30:00
03/12/2024 04:45:00,32.1217,31.2905,39.726,12.1962,ND,ND,03/12/2024 05:45:00
03/12/2024 05:00:00,31.8858,31.0113,67.146,12.1998,ND,ND,03/12/2024 06:00:00
03/12/2024 05:15:00,31.5043,30.6293,95.6388,12.2179,ND,ND,03/12/2024 06:15:00
03/12/2024 05:30:00,32.062,31.2297,49.0452,12.2287,ND,ND,03/12/2024 06:30:00
03/12/2024 05:45:00,32.1534,31.2977,38.9904,12.2323,ND,ND,03/12/2024 06:45:00
03/12/2024 06:00:00,31.5966,30.7509,86.8944,12.1962,ND,ND,03/12/2024 07:00:00
03/12/2024 06:15:00,31.8503,31.0127,63.7392,12.1962,ND,ND,03/12/2024 07:15:00
03/12/2024 06:30:00,31.9993,31.1675,32.8524,12.2432,ND,ND,03/12/2024 07:30:00
03/12/2024 06:45:00,31.9594,31.0923,32.5896,12.1962,ND,ND,03/12/2024 07:45:00
03/12/2024 07:00:00,31.9709,31.1415,32.5284,12.2143,ND,ND,03/12/2024 08:00:00
03/12/2024 07:15:00,31.9131,31.0778,32.4084,12.2106,ND,ND,03/12/2024 08:15:00
03/12/2024 07:30:00,31.728,30.8854,51.5712,12.2287,ND,ND,03/12/2024 08:30:00
03/12/2024 07:45:00,31.9043,31.0778,32.274,12.2179,ND,ND,03/12/2024 08:45:00
