LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP]
03/12/2024 10:15;03/12/2024 09:15;12,207;15,7245;31,0417;36,2736;0;40,2077
03/12/2024 10:30;03/12/2024 09:30;12,1962;17,6152;30,9635;43,8408;0;40,1129
03/12/2024 10:45;03/12/2024 09:45;12,236;30,5767;30,3458;84,3228;0;39,0943
03/12/2024 11:00;03/12/2024 10:00;12,207;26,7914;30,5295;74,3388;0;37,6151
03/12/2024 11:15;03/12/2024 10:15;12,1998;14,7792;31,1849;32,6388;0;41,1992
03/12/2024 11:30;03/12/2024 10:30;12,2287;14,9097;31,208;33,0468;0;41,4078
03/12/2024 11:45;03/12/2024 10:45;12,1998;20,7201;30,9288;55,362;0;40,9364
03/12/2024 12:00;03/12/2024 11:00;12,1817;17,6152;31,0113;43,8888;0;41,0502
03/12/2024 12:15;03/12/2024 11:15;12,1926;14,7792;31,1719;32,4252;0;41,4078
03/12/2024 12:30;03/12/2024 11:30;12,1962;22,4802;30,8391;60,588;0;40,8579
03/12/2024 12:45;03/12/2024 11:45;12,1962;20,1782;30,9187;53,5644;0;40,7603
03/12/2024 13:00;03/12/2024 12:00;12,2287;14,5103;31,182;31,3176;0;40,9906
03/12/2024 13:15;03/12/2024 12:15;12,1998;19,3674;30,9042;49,374;0;40,5761
03/12/2024 13:30;03/12/2024 12:30;12,1998;23,2831;30,8608;63,0864;0;41,0285
03/12/2024 13:45;03/12/2024 12:45;12,1817;14,9137;31,1068;33,666;0;40,9446
03/12/2024 14:00;03/12/2024 13:00;12,1817;14,9137;31,1285;33,7476;0;41,2209
03/12/2024 14:15;03/12/2024 13:15;12,1889;24,2284;30,816;66,1992;0;40,7603
03/12/2024 14:30;03/12/2024 13:30;12,2323;19,6363;30,9795;51,09;0;41,2236
03/12/2024 14:45;03/12/2024 13:45;12,1889;14,9137;31,1415;33,1872;0;41,1288
03/12/2024 15:00;03/12/2024 14:00;12,207;21,6614;30,8521;57,4608;0;40,2917
03/12/2024 15:15;03/12/2024 14:15;12,1817;16,2625;31,0634;38,538;0;40,5761
03/12/2024 15:30;03/12/2024 14:30;12,1889;14,9058;31,208;33,1032;0;41,0367
03/12/2024 15:45;03/12/2024 14:45;12,2179;21,3925;30,8898;56,7144;0;40,2619
03/12/2024 16:00;03/12/2024 15:00;12,207;18,5882;31,0692;47,352;0;40,8524
03/12/2024 16:15;03/12/2024 15:15;12,207;14,7792;31,2457;32,7036;0;41,397
03/12/2024 16:30;03/12/2024 15:30;12,2251;20,1782;30,9389;53,3784;0;40,8524
03/12/2024 16:45;03/12/2024 15:45;12,2287;23,0141;30,8883;62,7912;0;40,7251
03/12/2024 17:00;03/12/2024 16:00;12,2143;14,7792;31,1748;32,6172;0;41,2453
03/12/2024 17:15;03/12/2024 16:15;12,2179;16,9388;31,0417;40,5384;0;41,0394
03/12/2024 17:30;03/12/2024 16:30;12,1817;24,6319;30,7899;68,0772;0;40,7251
03/12/2024 17:45;03/12/2024 16:45;12,2143;14,8069;31,0865;32,832;0;40,7441
03/12/2024 18:00;03/12/2024 17:00;12,1745;19,9092;30,8695;51,7692;0;40,3892
03/12/2024 18:15;03/12/2024 17:15;12,1781;18,695;30,8174;46,1496;0;38,3791
03/12/2024 18:30;03/12/2024 17:30;12,1781;31,3835;30,0868;84,7356;0;32,6224
03/12/2024 18:45;03/12/2024 17:45;12,1889;25,0393;30,447;68,3628;0;32,7118
03/12/2024 19:00;03/12/2024 18:00;12,2251;23,6865;30,6597;64,9704;0;35,1201
03/12/2024 19:15;03/12/2024 18:15;12,2143;14,8148;31,0489;32,5116;0;40,8524
03/12/2024 19:30;03/12/2024 18:30;12,2287;14,8069;31,0344;32,4048;0;40,8524
03/12/2024 19:45;03/12/2024 18:45;99,8553;0,2;31,5365;0;0;41,7762
03/12/2024 20:00;03/12/2024 19:00;12,2179;19,7748;30,8348;50,8656;0;40,4813
03/12/2024 20:15;03/12/2024 19:15;12,2143;15,859;31,0402;35,5884;0;40,4813
03/12/2024 20:30;03/12/2024 19:30;12,2287;14,9137;31,0069;32,622;0;40,3079
03/12/2024 20:45;03/12/2024 19:45;99,8445;0,2;31,5828;0;0;41,4999
03/12/2024 21:00;03/12/2024 20:00;12,1781;17,6152;30,91;42,732;0;40,3892
03/12/2024 21:15;03/12/2024 20:15;12,1889;21,527;30,8753;57,3096;0;40,3892
03/12/2024 21:30;03/12/2024 20:30;12,207;14,7832;31,0634;32,1492;0;40,7603
03/12/2024 21:45;03/12/2024 20:45;12,1781;14,7871;31,0648;31,9764;0;40,4813
03/12/2024 22:00;03/12/2024 21:00;12,1926;14,7871;31,1661;32,4432;0;41,4078
03/12/2024 22:15;03/12/2024 21:15;12,1926;15,859;31,1126;35,8056;0;41,3157
03/12/2024 22:30;03/12/2024 21:30;12,1998;22,2033;30,8999;60,1776;0;40,9446
03/12/2024 22:45;03/12/2024 21:45;12,1962;14,8623;31,2153;32,886;0;40,95
03/12/2024 23:00;03/12/2024 22:00;12,1962;17,2078;31,0648;42,1044;0;40,8524
03/12/2024 23:15;03/12/2024 22:15;12,2179;25,7117;30,7451;71,2932;0;40,205
03/12/2024 23:30;03/12/2024 22:30;12,1926;14,9809;31,2008;33,6492;0;40,9446
03/12/2024 23:45;03/12/2024 22:45;12,2251;17,4767;31,1589;42,5628;0;41,4132
04/12/2024;03/12/2024 23:00;12,2287;29,6274;30,7104;82,764;0;41,1288
04/12/2024 00:15;03/12/2024 23:15;12,2106;20,4472;31,1169;54,7992;0;41,5893
04/12/2024 00:30;03/12/2024 23:30;12,2432;17,4767;31,2095;43,3284;0;41,6841
04/12/2024 00:45;03/12/2024 23:45;12,207;31,6525;30,6829;88,884;0;41,1288
04/12/2024 01:00;04/12/2024;12,1998;28,1442;30,9071;80,3268;0;41,4078
04/12/2024 01:15;04/12/2024 00:15;12,1998;27,7763;30,7914;78,588;0;41,3157
04/12/2024 01:30;04/12/2024 00:30;12,2179;38,6732;30,6105;106,392;0;41,0177
04/12/2024 01:45;04/12/2024 00:45;12,16;47,9879;30,0391;122,446;0,541143;33,9417
04/12/2024 02:00;04/12/2024 01:00;12,1998;48,9332;29,9841;123,611;0;35,028
04/12/2024 02:15;04/12/2024 01:15;12,207;49,0677;30,0275;124,345;0;35,4181
04/12/2024 02:30;04/12/2024 01:30;12,1781;44,3411;30,379;117,397;0;40,3892
04/12/2024 02:45;04/12/2024 01:45;12,1926;34,4885;30,7841;97,0404;1,62741;41,3157
04/12/2024 03:00;04/12/2024 02:00;12,1817;31,6525;30,8478;90,1344;0;41,4078
04/12/2024 03:15;04/12/2024 02:15;12,1926;44,2066;29,9306;114,588;0;39,4654
04/12/2024 03:30;04/12/2024 02:30;12,1962;41,078;30,1186;108,989;0;37,9863
04/12/2024 03:45;04/12/2024 02:45;12,2179;42,7234;29,9638;112,217;0;36,518
04/12/2024 04:00;04/12/2024 03:00;12,1998;43,2613;29,9074;112,847;0;35,9111
04/12/2024 04:15;04/12/2024 03:15;12,1926;40,4649;30,1172;107,886;0;34,6704
04/12/2024 04:30;04/12/2024 03:30;12,1889;31,3796;30,6568;87,9456;0;40,6682
04/12/2024 04:45;04/12/2024 03:45;12,207;20,4472;31,0156;55,5444;0;40,7603
04/12/2024 05:00;04/12/2024 04:00;12,1926;31,1146;30,7046;87,5724;0;41,3292
04/12/2024 05:15;04/12/2024 04:15;12,2287;29,224;30,7538;82,5828;0;41,4972
04/12/2024 05:30;04/12/2024 04:30;12,2143;14,7792;31,2789;32,9508;0;41,3184
04/12/2024 05:45;04/12/2024 04:45;12,2287;15,859;31,2384;36,858;0;41,6841
04/12/2024 06:00;04/12/2024 05:00;12,1889;30,3038;30,6496;84,6096;0;40,9446
04/12/2024 06:15;04/12/2024 05:15;12,1889;25,7117;30,7697;71,5452;0;40,5761
04/12/2024 06:30;04/12/2024 05:30;12,207;14,9137;31,2384;33,6012;0;41,4349
04/12/2024 06:45;04/12/2024 05:45;118,515;17,6152;30,8681;43,5732;2,03724;40,7603
04/12/2024 07:00;04/12/2024 06:00;12,2143;24,6319;30,8406;67,1424;0;40,7603
04/12/2024 07:15;04/12/2024 06:15;12,2287;14,9137;31,0778;32,8092;0;40,5761
04/12/2024 07:30;04/12/2024 06:30;12,2287;14,8465;31,156;32,952;1,62741;40,6736
04/12/2024 07:45;04/12/2024 06:45;12,2179;14,9137;31,0909;32,9664;0;40,8064
04/12/2024 08:00;04/12/2024 07:00;12,2179;14,9137;31,1082;33,0696;0;40,6818
04/12/2024 08:15;04/12/2024 07:15;12,2106;14,9137;31,0807;32,9016;0;40,9446
04/12/2024 08:30;04/12/2024 07:30;12,2251;14,9137;31,0084;32,5968;0;40,6682
04/12/2024 08:45;04/12/2024 07:45;12,2323;14,9137;31,0793;33,0252;0;40,9446
04/12/2024 09:00;04/12/2024 08:00;12,2251;14,9137;31,0446;32,8296;0;41,1261
04/12/2024 09:15;04/12/2024 08:15;12,1998;20,4472;30,8637;53,5068;0;40,9256
04/12/2024 09:30;04/12/2024 08:30;12,1998;18,2876;30,965;45,8304;0;40,8524
04/12/2024 09:45;04/12/2024 08:45;12,1926;14,9137;31,0995;33,2832;0;40,4813
04/12/2024 10:00;04/12/2024 09:00;12,2106;14,9137;31,088;32,8176;0;40,5761
