LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali]
03/12/2024 04:45;03/12/2024 03:45;12,1926;33,4087;31,3572;92,9352;40,4813;16,4967
03/12/2024 05:00;03/12/2024 04:00;12,1998;18,695;32,0152;48,288;41,4999;19,1313
03/12/2024 05:15;03/12/2024 04:15;12,2323;26,388;31,6703;73,116;40,9446;20,9897
03/12/2024 05:30;03/12/2024 04:30;12,2251;25,4427;31,7513;71,3136;41,3157;17,598
03/12/2024 05:45;03/12/2024 04:45;12,1962;16,4365;32,1217;39,726;41,8683;19,1313
03/12/2024 06:00;03/12/2024 05:00;12,1998;24,2284;31,8858;67,146;41,4078;22,2643
03/12/2024 06:15;03/12/2024 05:15;12,2179;34,089;31,5043;95,6388;40,8524;18,9471
03/12/2024 06:30;03/12/2024 05:30;12,2287;18,695;32,062;49,0452;41,592;16,5956
03/12/2024 06:45;03/12/2024 05:45;12,2323;16,2625;32,1534;38,9904;41,7817;21,304
03/12/2024 07:00;03/12/2024 06:00;12,1962;30,9762;31,5966;86,8944;40,9446;20,8448
03/12/2024 07:15;03/12/2024 06:15;12,1962;22,8797;31,8503;63,7392;40,8524;15,8953
03/12/2024 07:30;03/12/2024 06:30;12,2432;14,7792;31,9993;32,8524;40,5734;17,4503
03/12/2024 07:45;03/12/2024 06:45;12,1962;14,7792;31,9594;32,5896;40,7603;17,5262
03/12/2024 08:00;03/12/2024 07:00;12,2143;14,7792;31,9709;32,5284;40,9364;18,7155
03/12/2024 08:15;03/12/2024 07:15;12,2106;14,7792;31,9131;32,4084;41,0936;19,8018
03/12/2024 08:30;03/12/2024 07:30;12,2287;19,7748;31,728;51,5712;40,7603;19,9169
03/12/2024 08:45;03/12/2024 07:45;12,2179;14,7792;31,9043;32,274;40,9446;17,4679
03/12/2024 09:00;03/12/2024 08:00;12,2179;14,7792;31,9689;32,454;41,1288;17,9298
03/12/2024 09:15;03/12/2024 08:15;12,2323;17,2078;31,8125;41,9328;41,0367;21,5816
03/12/2024 09:30;03/12/2024 08:30;12,2179;31,6525;30,7904;85,0128;31,3762;21,2349
03/12/2024 09:45;03/12/2024 08:45;12,2143;23,5521;31,3925;64,0332;32,644;19,5945
03/12/2024 10:00;03/12/2024 09:00;12,1889;27,1988;31,1966;75,2184;34,8275;18,2075
03/12/2024 10:15;03/12/2024 09:15;12,207;15,7245;31,8332;36,2736;40,2077;17,5831
03/12/2024 10:30;03/12/2024 09:30;12,1962;17,6152;31,7426;43,8408;40,1129;21,4692
03/12/2024 10:45;03/12/2024 09:45;12,236;30,5767;31,1391;84,3228;39,0943;21,1658
